"Break","Dominant Swell","Dominant Height (m)","Dominant Period (s)","Dominant Direction","Meets Min Period","Avg Period All Swells"
"Tourmaline","Primary",0.78,4.25,265,"No",7
"Tourmaline","Primary",0.8,4.3,265,"No",6.95
"Tourmaline","Primary",0.8,4.4,266,"No",6.92
"Tourmaline","Primary",0.76,4.6,268,"No",7
"Tourmaline","Primary",0.74,4.9,269,"No",7.1
"Tourmaline","Primary",0.7,5.25,271,"No",7.18
"Tourmaline","Primary",0.66,5.6,271,"No",7.22
"Tourmaline","Primary",0.6,5.95,272,"No",7.22
"Tourmaline","Primary",0.56,6.6,272,"No",7.32
"Tourmaline","Primary",0.52,7.55,273,"No",7.62
"Tourmaline","Primary",0.5,8.75,274,"No",8.02
"Tourmaline","Primary",0.46,10.15,275,"Yes",8.37
"Tourmaline","Primary",0.44,11.95,252,"Yes",8.62
"Windansea","Primary",0.92,5.45,286,"No",5.58
"Windansea","Primary",0.86,5.45,291,"No",5.45
"Windansea","Primary",0.82,5.25,277,"No",5.45
"Windansea","Primary",0.8,5,263,"No",5.52
"Windansea","Primary",0.76,4.75,249,"No",5.55
"Windansea","Primary",0.76,4.6,254,"No",5.42
"Windansea","Primary",0.78,4.55,259,"No",5.25
"Windansea","Primary",0.78,4.45,264,"No",5.28
"Windansea","Primary",0.78,4.35,264,"No",5.73
"Windansea","Primary",0.78,4.3,264,"No",6.38
"Windansea","Primary",0.78,4.25,264,"No",6.87
"Windansea","Primary",0.78,4.25,265,"No",7
"Windansea","Primary",0.8,4.3,265,"No",6.95
"Windansea","Primary",0.8,4.4,266,"No",6.92
"Windansea","Primary",0.76,4.6,268,"No",7
"Windansea","Primary",0.74,4.9,269,"No",7.1
"Windansea","Primary",0.7,5.25,271,"No",7.18
"Windansea","Primary",0.66,5.6,271,"No",7.22
"Windansea","Primary",0.6,5.95,272,"No",7.22
"Windansea","Primary",0.56,6.6,272,"No",7.32
"Windansea","Primary",0.52,7.55,273,"No",7.62
"Windansea","Primary",0.5,8.75,274,"No",8.02
"Windansea","Primary",0.46,10.15,275,"No",8.37
"Windansea","Primary",0.44,11.95,252,"No",8.62
